occupation,TotalEmployed,Women,Men,White,BlackAfricanAmerican,Asian,HispanicLatino,color_code,source,us_labor_occupation_names,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,UsedOccupations
teacher,6432,0.7343140547263682,0.2656859452736319,0.8026640236318409,0.11918703358208957,0.051960976368159204,0.11238339552238806,Overlap,21,Postsecondary teachers; Preschool and kindergarten teachers; Elementary and middle school teachers; Special education teachers; Other teachers and instructors,71.0,special ed teacher,71.0,primary school teacher,94.0,earth teacher,94,drama teacher,94.0,law enforcement teacher,94.0,preschool teacher,94.0,communications teacher,94.0,recreation and fitness studies teacher,94.0,biological science teacher,94.0,engineering teacher,94.0,self-enrichment teacher,94.0,law teacher,94.0,education teacher,94.0,technical education teacher,94.0,environmental science teacher,94.0,geography teacher,94.0,social work teacher,94.0,library science teacher,94.0,business teacher,94.0,anthropology teacher,94.0,psychology teacher,94.0,religion teacher,94.0,music teacher,94.0,mathematical science teacher,94.0,career education teacher,94.0,"area, ethnic, and cultural studies teacher",94.0,postsecondary teacher,94.0,archeology teacher,94.0,criminal justice teacher,94.0,forestry teacher,94.0,nursing teacher,94.0,kindergarten teacher,94.0,history teacher,94.0,foreign language and literature teacher,94.0,space sciences teacher,94.0,economics teacher,94.0,political science teacher,94.0,health specialties teacher,94.0,marine teacher,94.0,art teacher,94.0,atmospheric teacher,94.0,architecture teacher,94.0,social sciences teacher,94.0,middle school teacher,94.0,conservation science teacher,94.0,chemistry teacher,94.0,sociology teacher,94.0,english language and literature teacher,94.0,secondary school teacher,94.0,physics teacher,94.0,educator,94.0,yoga instructor,94.0,nursing instructor,94.0,group fitness instructor,94_m,dance instructor,94.0,farm and home management educator,94.0,substitute,94.0,health education specialist,Postsecondary teachers; Preschool and kindergarten teachers; Elementary and middle school teachers; Special education teachers; Other teachers and instructors
director,245,0.5114530612244897,0.48854693877551025,0.7890367346938776,0.12131836734693877,0.04917959183673469,0.10649795918367347,Good,21,"Emergency management directors; Directors, religious activities and education; Producers and directors; Music directors and composers",21.0,company director,21.0,film director,94.0,emergency management director,94,music director,94.0,athletic director,94.0,art director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Directors, religious activities and education; Producers and directors"
professor,1013,0.466,0.534,0.785,0.084,0.109,0.079,Overlap,21,Postsecondary teachers,94.0,associate professor,94.0,adjunct professor,94.0,economics professor,94,assistant professor,94.0,professor emeritus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Postsecondary teachers
judge,76,0.465,0.5349999999999999,0.723,0.262,0.0,0.11199999999999999,Good,21,"Judges, magistrates, and other judicial workers",94.0,magistrate judge,94.0,administrative law judge,94.0,magistrate,94,adjudicator,94.0,hearing officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Judges, magistrates, and other judicial workers"
therapist,1047,0.7965711556829036,0.20342884431709649,0.8333915950334289,0.08985482330468003,0.04704202483285578,0.08791212989493791,Good,54,"Occupational therapists; Physical therapists; Radiation therapists; Recreational therapists; Respiratory therapists; Speech-language pathologists; Exercise physiologists; Therapists, all other",54.0,occupational therapist,94.0,recreational therapist,94.0,radiation therapist,94,respiratory therapist,94.0,marriage and family therapist,54.0,physical therapist,54.0,massage therapist,94.0,physical therapist assistant,94.0,occupational therapy assistant,94.0,physical therapist aide,54.0,language pathologist,94.0,occupational therapy aide,94.0,school psychologist,94.0,speech-language pathologist,94.0,exercise physiologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Occupational therapists; Physical therapists; Respiratory therapists; Speech-language pathologists; Therapists, all other"
butcher,243,0.276,0.724,0.72,0.163,0.073,0.366,Good,5,"Butchers and other meat, poultry, and fish processing workers",94.0,meat cutter,94.0,"meat, poultry, and fish cutter",94.0,"meat, poultry, and fish trimmer",94,meat packer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Butchers and other meat, poultry, and fish processing workers"
chef,476,0.233,0.767,0.588,0.18899999999999997,0.185,0.207,Good,5,Chefs and head cooks,54.0,head cook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chefs and head cooks
cook,2016,0.39799999999999996,0.6020000000000001,0.691,0.172,0.07,0.396,Good,5,Cooks,94.0,food preparation worker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cooks
dentist,164,0.395,0.605,0.772,0.043,0.145,0.08,Good,5,Dentists,54.0,dental assistant,54.0,dental hygienist,94.0,orthodontist,94,prosthodontist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dentists
pilot,211,0.083,0.917,0.924,0.036000000000000004,0.027000000000000003,0.107,Good,5,Aircraft pilots and flight engineers,94.0,copilot,94.0,commercial pilot,94.0,flight engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aircraft pilots and flight engineers
scientist,782,0.4549757033248082,0.5450242966751917,0.6179884910485933,0.07392583120204603,0.2792634271099744,0.07796291560102302,Good,5,"Computer and information research scientists; Statisticians; Agricultural and food scientists; Biological scientists; Conservation scientists and foresters; Medical scientists; Life scientists, all other; Astronomers and physicists; Atmospheric and space scientists; Chemists and materials scientists; Environmental scientists and specialists, including health; Geoscientists and hydrologists, except geographers; Physical scientists, all other",94.0,animal scientist,94.0,medical scientist,94.0,biological scientist,94,geoscientist,94.0,social scientist,94.0,environmental scientist,94.0,data scientist,94.0,materials scientist,94.0,computer and information research scientist,94.0,food scientist,94.0,political scientist,94.0,computer scientist,94.0,soil and plant scientist,94.0,atmospheric scientist,94.0,space scientist,94.0,conservation scientist,94.0,physical scientist,21.0,biologist,94.0,wildlife biologist,70.0,chemist,70.0,physicist,21.0,geologist,54.0,psychologist,94.0,microbiologist,94.0,zoologist,70.0,tennis player,94.0,biochemists and biophysicist,102.0,astronomer,94.0,hydrologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Biological scientists; Medical scientists; Chemists and materials scientists; Physical scientists, all other"
flight attendant,115,0.78,0.21999999999999997,0.797,0.163,0.037000000000000005,0.2,Good,5,Flight attendants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flight attendants
painter,561,0.10400000000000001,0.896,0.902,0.055,0.004,0.606,Good,5,Painters and paperhangers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Painters and paperhangers
nurse,3472,0.8740000000000001,0.1259999999999999,0.726,0.156,0.08900000000000001,0.08900000000000001,Good,5,Registered nurses,94.0,registered nurse,71.0,nurse practitioner,54.0,nursing assistant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Registered nurses
hairdresser,717,0.9209999999999999,0.07900000000000007,0.77,0.132,0.068,0.18,Overlap,5,"Hairdressers, hairstylists, and cosmetologists",70.0,barber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hairdressers, hairstylists, and cosmetologists"
singer,170,0.271,0.729,0.736,0.159,0.05,0.109,Overlap,5,Musicians and singers,70.0,opera singer,94.0,soloist,94.0,crooner,94,vocalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Musicians and singers
police officer,702,0.14400000000000002,0.856,0.8140000000000001,0.142,0.027999999999999997,0.16699999999999998,Good,5,Police officers,94.0,transit and railroad police,70.0,sheriff,94.0,deputy sheriff,94,patrol officer,94.0,bailiff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Police officers
prison officer,300,0.33899999999999997,0.661,0.645,0.271,0.035,0.128,Overlap,5,Correctional officers and jailers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Correctional officers and jailers
waiter,1805,0.688,0.31200000000000006,0.755,0.099,0.085,0.264,Good,5,Waiters and waitresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waiters and waitresses
accountant,1624,0.57,0.43000000000000005,0.7340000000000001,0.11900000000000001,0.127,0.085,Good,21,Accountants and auditors,94.0,accountants and auditor,94.0,tax preparer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accountants and auditors
architect,203,0.31,0.69,0.836,0.035,0.10099999999999999,0.113,Good,21,"Architects, except landscape and naval",94.0,landscape architect,94.0,naval architect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Architects, except landscape and naval"
baker,233,0.655,0.345,0.802,0.07400000000000001,0.055999999999999994,0.371,Good,21,Bakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bakers
editor,125,0.5660000000000001,0.43399999999999994,0.912,0.035,0.046,0.065,Good,21,Editors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Editors
electrician,959,0.028999999999999998,0.971,0.873,0.067,0.016,0.24600000000000002,Good,21,Electricians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electricians
engineer,2541,0.15390751672569855,0.8460924832743015,0.7585560802833531,0.06409838646202283,0.1510228256591893,0.09676465958284142,Good,21,"Aerospace engineers; Agricultural engineers; Bioengineers and biomedical engineers; Chemical engineers; Civil engineers; Computer hardware engineers; Electrical and electronics engineers; Environmental engineers; Industrial engineers, including health and safety; Marine engineers and naval architects; Materials engineers; Ship engineers; Mechanical engineers; Mining and geological engineers, including mining safety engineers; Nuclear engineers; Petroleum engineers; Engineers, all other",54.0,aerospace engineer,54.0,industrial engineer,54.0,civil engineer,54,mechanical engineer,54.0,electrical engineer,94.0,bioengineer,94.0,biomedical engineer,94.0,rail yard engineer,94.0,mining engineer,94.0,ship engineer,94.0,stationary engineer,94.0,computer hardware engineer,94.0,petroleum engineer,94.0,environmental engineer,94.0,agricultural engineer,94.0,chemical engineer,94.0,aircraft engineer,94.0,nuclear engineer,94.0,geological engineer,94.0,materials engineer,94.0,marine engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aerospace engineers; Chemical engineers; Civil engineers; Computer hardware engineers; Electrical and electronics engineers; Industrial engineers, including health and safety; Materials engineers; Mechanical engineers; Engineers, all other"
doctor,963,0.4522585669781931,0.5477414330218068,0.6840934579439253,0.08850467289719625,0.19383800623052957,0.06326168224299066,Good,5,"Chiropractors; Optometrists; Emergency medicine physicians; Other physicians; Podiatrists; Audiologists; Acupuncturists; Healthcare diagnosing or treating practitioners, all other; Radiologists",94.0,anesthesiologist,94.0,cardiologist,94.0,pediatrician,94,pathologist,94.0,general internal medicine physician,70.0,physician,94.0,dermatologist,94.0,acupuncturist,94.0,neurologist,94.0,family medicine physician,94.0,optometrist,94.0,podiatrist,94.0,psychiatrist,94.0,gynecologist,94.0,chiropractor,94.0,radiologist,94.0,emergency medicine physician,94.0,healthcare diagnosing or treating practitioner,94.0,audiologist,94.0,healthcare practitioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chiropractors; Other physicians
surgeon,59,0.2,0.8,0.75,0.057,0.18600000000000003,0.025,Good,5,Surgeons,94.0,pediatric surgeon,94.0,plastic surgeon,94.0,surgical assistant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surgeons
writer,271,0.5379999999999999,0.4620000000000001,0.883,0.055,0.049,0.09,Good,21,Writers and authors,21.0,author,21.0,comic book writer,71.0,technical writer,94,sportswriter,94.0,songwriter,94.0,freelance writer,70.0,poet,94.0,novelist,94.0,lyricist,94.0,playwright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Writers and authors
underwriter,108,0.569,0.43100000000000005,0.773,0.156,0.057999999999999996,0.107,Good,54,Insurance underwriters,94.0,insurance underwriter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insurance underwriters
mover,2090,0.242,0.758,0.722,0.193,0.027000000000000003,0.271,Good,54,"Laborers and freight, stock, and material movers, hand",94.0,"freight, stock, and material mover",94.0,material moving worker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Laborers and freight, stock, and material movers, hand"
tutor,141,0.7040000000000001,0.29599999999999993,0.8059999999999999,0.067,0.081,0.243,Good,54,Tutors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tutors
secretary,2208,0.9187133152173914,0.08128668478260866,0.8180176630434783,0.11847056159420291,0.033617753623188404,0.1500584239130435,Good,21,"Executive secretaries and executive administrative assistants; Legal secretaries and administrative assistants; Medical secretaries and administrative assistants; Secretaries and administrative assistants, except legal, medical, and executive",94.0,undersecretary,94.0,executive secretary,94.0,legal secretary,m_94,medical secretary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Executive secretaries and executive administrative assistants; Legal secretaries and administrative assistants; Medical secretaries and administrative assistants; Secretaries and administrative assistants, except legal, medical, and executive"
artist,334,0.516,0.484,0.7959999999999999,0.067,0.081,0.113,Good,54,Artists and related workers,94.0,fine artist,70.0,performing artist,5.0,makeup artist,94,artiste,94.0,craft artist,94.0,special effects artist,94.0,sculptor,70.0,illustrator,94.0,cartoonist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artists and related workers
pharmacist,354,0.578,0.42200000000000004,0.685,0.1,0.20800000000000002,0.057999999999999996,Good,54,Pharmacists,94.0,pharmacy aide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pharmacists
paralegal,434,0.83,0.17000000000000004,0.763,0.153,0.05,0.168,Good,54,Paralegals and legal assistants,94.0,legal assistant,94.0,legal support worker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paralegals and legal assistants
lawyer,1189,0.395,0.605,0.861,0.068,0.044000000000000004,0.057,Good,5,Lawyers,92.0,attorney,70.0,attourney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lawyers
salesperson,4169,0.4851098584792517,0.5148901415207484,0.7923161429599423,0.12597385464140085,0.05073254977212761,0.18349388342528183,Good,5,"Parts salespersons; Retail salespersons; Advertising sales agents; Insurance sales agents; Securities, commodities, and financial services sales agents; Sales engineers; Sales and related workers, all other",94.0,sales engineer,94.0,parts salesperson,94.0,retail salesperson,94,sales worker,94.0,sales representative,94.0,door-to-door sales worker,94.0,insurance sales agent,94.0,advertising sales agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Parts salespersons; Retail salespersons; Advertising sales agents; Insurance sales agents; Securities, commodities, and financial services sales agents; Sales and related workers, all other"
solicitor,73,0.5429999999999999,0.4570000000000001,0.7140000000000001,0.154,0.027000000000000003,0.243,Good,5,"Door-to-door sales workers, news and street vendors, and related workers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Door-to-door sales workers, news and street vendors, and related workers"
tailor,51,0.8140000000000001,0.18599999999999994,0.799,0.063,0.125,0.28600000000000003,Overlap,5,"Tailors, dressmakers, and sewers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tailors, dressmakers, and sewers"
photographer,228,0.485,0.515,0.794,0.092,0.063,0.10400000000000001,Good,21,Photographers,94.0,camera operator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Photographers
plumber,635,0.022000000000000002,0.978,0.847,0.10099999999999999,0.022000000000000002,0.28300000000000003,Good,21,"Plumbers, pipefitters, and steamfitters",94.0,pipefitter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Plumbers, pipefitters, and steamfitters"
porter,78,0.29100000000000004,0.709,0.655,0.20199999999999999,0.11,0.34700000000000003,Good,21,"Baggage porters, bellhops, and concierges",94.0,baggage porter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baggage porters, bellhops, and concierges"
receptionist,1196,0.8909999999999999,0.1090000000000001,0.7859999999999999,0.128,0.035,0.225,Good,21,Receptionists and information clerks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Receptionists and information clerks
